brand,model,version,year,price_min,price_max,fuel_type,transmission,engine_size,horsepower,torque,acceleration,top_speed,fuel_consumption_combined,co2_emissions,seating_capacity,cargo_capacity,is_available,is_popular,is_new_release
Dacia,Sandero,Stepway,2024,89900,120000,Essence,Manual,1.0,90,160,11.9,180,5.2,118,5,320,true,true,true
Dacia,Duster,Essential,2024,149900,180000,Diesel,Manual,1.5,115,260,10.5,180,4.8,125,5,478,true,true,false
Toyota,Corolla,Sedan,2024,189000,245000,Hybrid,Automatic,1.8,140,190,7.9,180,3.8,86,5,471,true,true,true
Peugeot,208,Active,2024,149000,189000,Essence,Manual,1.2,100,205,10.9,188,5.0,114,5,311,true,false,false
Renault,Clio,Zen,2024,139000,179000,Essence,Manual,1.0,90,160,12.5,180,5.3,120,5,300,true,true,false
Hyundai,i20,Comfort,2024,129000,169000,Essence,Manual,1.2,84,118,12.2,175,5.4,123,5,301,true,false,false
Volkswagen,Golf,Life,2024,189000,289000,Essence,Automatic,1.5,150,250,8.5,212,5.5,126,5,381,true,true,true
Kia,Picanto,Motion,2024,79900,99000,Essence,Manual,1.0,67,95,14.6,155,5.1,116,4,255,true,false,false
Ford,Fiesta,Titanium,2024,119000,159000,Essence,Automatic,1.0,95,170,11.2,182,5.2,117,5,292,true,false,false
Seat,Ibiza,Reference,2024,129000,169000,Essence,Manual,1.0,95,175,10.9,185,5.1,116,5,355,true,false,false
Skoda,Fabia,Ambition,2024,139000,179000,Essence,Automatic,1.0,95,175,10.9,185,5.2,118,5,380,true,false,true
Opel,Corsa,Edition,2024,129000,169000,Essence,Manual,1.2,75,118,13.5,170,5.3,121,5,309,true,false,false
Fiat,500,Lounge,2024,119000,159000,Essence,Manual,1.0,70,92,12.9,160,4.9,112,4,185,true,false,false
Nissan,Micra,Visia,2024,109000,139000,Essence,Manual,1.0,71,95,13.7,160,5.1,116,5,300,true,false,false
Mazda,2,Skyactiv-G,2024,129000,159000,Essence,Manual,1.5,90,148,11.3,175,5.4,123,5,280,true,false,false
